# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
90.8               4.936       4.936       4.938   -0.002304  -5.913e-05  -1.737e-05    0.006909
91                 4.925       4.925       4.927   -0.001666  -9.944e-06   -0.000128    0.006369
91.2               4.912       4.912       4.916   -0.004294  -5.772e-05   2.584e-05      0.0043
91.4               4.903       4.903       4.906    -0.00285  -4.498e-05   1.552e-06   -0.002093
91.6               4.892       4.892       4.895   -0.002943  -1.248e-06   0.0001217   -0.005314
91.8               4.882       4.882       4.884   -0.002017   6.776e-05  -2.994e-05    0.003616
92                 4.869       4.869       4.874   -0.003956  -3.792e-05  -9.635e-05   -0.002034
92.2                4.86        4.86       4.863   -0.003036  -2.386e-05  -0.0001026  -0.0008437
92.4               4.849       4.849       4.852    -0.00341  -2.882e-05   1.589e-05   -0.001118
92.6               4.839       4.839       4.842   -0.002695  -3.114e-05   6.991e-05    0.001696
92.8                4.83        4.83       4.832   -0.001303  -7.693e-05   3.553e-05    0.001811
93                 4.817       4.817       4.821   -0.003672  -1.233e-05   -4.21e-05   -0.002516
93.2               4.807       4.807       4.811   -0.003559  -9.166e-06   5.542e-05    0.002424
93.4               4.798       4.798         4.8   -0.002266   2.105e-05  -0.0001349   0.0003051
93.6               4.788       4.788        4.79    -0.00229  -1.373e-05    8.49e-05   -0.002264
93.8               4.778       4.778        4.78   -0.001678   -3.42e-05   1.158e-05  -0.0009956
94                 4.767       4.767        4.77   -0.003221  -1.924e-05  -6.606e-07     -0.0046
94.2               4.755       4.755        4.76    -0.00448  -5.748e-05   7.302e-06   0.0001641
94.4               4.747       4.747        4.75    -0.00245  -3.108e-05  -7.185e-05    0.003798
94.6               4.738       4.738        4.74   -0.001509   3.899e-05  -2.636e-07  -0.0007047
94.8               4.728       4.728        4.73   -0.001533   3.387e-06   3.984e-05    0.001999
95                 4.715       4.715        4.72   -0.004964  -3.494e-05   3.515e-05   -0.003011
95.2               4.707       4.707        4.71   -0.003049  -3.313e-05  -9.806e-05  -0.0005133
95.4               4.698       4.698         4.7   -0.001691   4.626e-05  -6.186e-05     0.00106
95.6               4.687       4.687        4.69   -0.002645  -3.227e-05  -6.487e-05   -0.005938
95.8               4.679       4.679        4.68    -0.00157  -4.801e-06  -4.362e-05     0.00146
96                 4.667       4.667        4.67   -0.003128   3.757e-05  -3.793e-05   -0.002555
96.2               4.657       4.657       4.661   -0.003915  -3.102e-05   2.059e-05   -0.002889
96.4               4.648       4.648       4.651   -0.002782   3.529e-05  -1.298e-05    0.006901
96.6               4.639       4.639       4.641   -0.002024   1.966e-05  -5.452e-05   -0.001836
96.8               4.629       4.629       4.632   -0.002586   4.296e-05   5.348e-05   -0.002359
97                  4.62        4.62       4.622   -0.002721  -9.203e-06  -6.281e-05   -0.003768
97.2                4.61        4.61       4.613   -0.002651   5.177e-06  -3.691e-05   7.383e-05
97.4               4.602       4.602       4.603   -0.001466   1.623e-06  -4.097e-05  -0.0007393
97.6               4.591       4.591       4.594   -0.002942    2.04e-05  -0.0001898   -0.001966
97.8               4.584       4.584       4.584  -0.0006249  -1.087e-05   1.254e-05    -0.00322
98                 4.572       4.572       4.575   -0.003568   7.723e-06   5.406e-05    0.003779
98.2               4.563       4.563       4.566   -0.002881   4.018e-05  -4.983e-05    0.004632
98.4               4.556       4.556       4.557  -0.0007436   3.438e-05  -2.827e-05    0.003845
98.6               4.545       4.545       4.547   -0.002747   2.549e-05   1.902e-05   -0.001243
98.8               4.536       4.536       4.538   -0.002507  -4.692e-06  -3.829e-05    0.002017
99                 4.529       4.529       4.531   -0.002122   0.0001164  -8.828e-05   0.0009782
